val/loss,val/acc,val/prec,val/rec,val/preds_sum,val/targets_sum,val/acc_best,val/loss_best,epoch,step,train/loss,train/acc,train/prec,train/rec,train/preds_sum,train/targets_sum,train/acc_best,train/loss_best,test/loss,test/acc,test/prec,test/rec,test/preds_sum,test/targets_sum,test/TP_epoch,test/FP_epoch,test/TN_epoch,test/FN_epoch,test/acc_epoch,test/prec_epoch,test/rec_epoch,test/preds_sum_epoch,test/targets_sum_epoch
1.302527666091919,0.9397211074829102,0.0,0.0,0.0,7968.0,0.9397211074829102,1.302527666091919,0,8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,8,1.3291174173355103,0.9574180245399475,0.0,0.0,0.0,7295.888671875,0.9574180245399475,1.3291174173355103,,,,,,,,,,,,,,,
1.30057954788208,0.9397211074829102,0.0,0.0,0.0,7968.0,0.9397211074829102,1.30057954788208,1,17,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,17,1.3248467445373535,0.9574084877967834,0.0,0.0,0.0,7295.888671875,0.9574180245399475,1.3248467445373535,,,,,,,,,,,,,,,
1.29722261428833,0.9397211074829102,0.0,0.0,0.0,7968.0,0.9397211074829102,1.29722261428833,2,26,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,26,1.3194279670715332,0.9578896760940552,0.0,0.0,0.0,7295.888671875,0.9578896760940552,1.3194279670715332,,,,,,,,,,,,,,,
1.2941758632659912,0.9397211074829102,0.0,0.0,0.0,7968.0,0.9397211074829102,1.2941758632659912,3,35,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,35,1.3084267377853394,0.9589835405349731,0.0,0.0,0.0,7295.888671875,0.9589835405349731,1.3084267377853394,,,,,,,,,,,,,,,
1.2921698093414307,0.9397211074829102,0.0,0.0,0.0,7968.0,0.9397211074829102,1.2921698093414307,4,44,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,44,1.2958006858825684,0.9530705213546753,0.0,0.0,0.0,7295.888671875,0.9589835405349731,1.2958006858825684,,,,,,,,,,,,,,,
1.2812986373901367,0.9397211074829102,0.0,0.0,0.0,7968.0,0.9397211074829102,1.2812986373901367,5,53,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,53,1.2869077920913696,0.9575139284133911,0.0,0.0,0.0,7295.888671875,0.9589835405349731,1.2869077920913696,,,,,,,,,,,,,,,
1.2579283714294434,0.9397211074829102,0.0,0.0,0.0,7968.0,0.9397211074829102,1.2579283714294434,6,62,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,62,1.2570675611495972,0.9581443071365356,0.0,0.0,0.0,7295.888671875,0.9589835405349731,1.2570675611495972,,,,,,,,,,,,,,,
1.172874927520752,0.8609921932220459,0.2181105613708496,0.039433445781469345,33518.5,7968.0,0.9397211074829102,1.172874927520752,7,71,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,71,1.1974576711654663,0.9524832963943481,0.004226745571941137,0.08610846102237701,190.0,7295.888671875,0.9589835405349731,1.1974576711654663,,,,,,,,,,,,,,,
1.2431726455688477,0.7703580856323242,0.3174476623535156,0.09555873274803162,54454.0,7968.0,0.9397211074829102,1.172874927520752,8,80,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,80,1.2225866317749023,0.7541118264198303,0.3964170217514038,0.08483895659446716,43604.0,7295.888671875,0.9589835405349731,1.1974576711654663,,,,,,,,,,,,,,,
1.2687578201293945,0.9397211074829102,0.0,0.0,0.0,7968.0,0.9397211074829102,1.172874927520752,9,89,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,89,1.260217308998108,0.828538179397583,0.17213137447834015,0.03878195211291313,31420.333984375,7295.888671875,0.9589835405349731,1.1974576711654663,,,,,,,,,,,,,,,
1.2332149744033813,0.9397211074829102,0.0,0.0,0.0,7968.0,0.9397211074829102,1.172874927520752,10,98,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,98,1.2466778755187988,0.9582059383392334,0.002489565871655941,0.06394212692975998,291.22222900390625,7295.888671875,0.9589835405349731,1.1974576711654663,,,,,,,,,,,,,,,
1.1805131435394287,0.9397211074829102,0.0,0.0,0.0,7968.0,0.9397211074829102,1.172874927520752,11,107,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,107,1.1786515712738037,0.9574422836303711,0.0,0.0,0.0,7295.888671875,0.9589835405349731,1.1786515712738037,,,,,,,,,,,,,,,
1.0967134237289429,0.8915129899978638,0.19707095623016357,0.05412663146853447,22064.0,7968.0,0.9397211074829102,1.0967134237289429,12,116,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12,116,1.096059799194336,0.9429213404655457,0.05865723639726639,0.07693492621183395,3447.4443359375,7295.888671875,0.9589835405349731,1.096059799194336,,,,,,,,,,,,,,,
1.00833261013031,0.7955151200294495,0.5571520328521729,0.15162083506584167,38571.5,7968.0,0.9397211074829102,1.00833261013031,13,125,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,125,1.0197365283966064,0.8495640754699707,0.4365791976451874,0.12676143646240234,25695.5546875,7295.888671875,0.9589835405349731,1.0197365283966064,,,,,,,,,,,,,,,
1.1534444093704224,0.826095461845398,0.4125121831893921,0.14583243429660797,29236.0,7968.0,0.9397211074829102,1.00833261013031,14,134,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14,134,0.9611523747444153,0.8322492241859436,0.5614674091339111,0.13517729938030243,30802.5546875,7295.888671875,0.9589835405349731,0.9611523747444153,,,,,,,,,,,,,,,
