particle_index,POSITION_T,Reg_X,Reg_Y,Org_X,Org_Y,local_maxima,Fit_X,Fit_Y,Fit_amp,Fit_offset,sample_when_zero,photon_number,TP_Flag
0,0.0,46.46666666666667,54.13333333333333,46.46666666666667,54.13333333333333,,45.98546712010151,55.31334994491632,41.45262007959663,1.723680634017608,,258.12319801837657,
0,1.0,46.46666666666667,54.13333333333333,47.100088587958155,53.083870573740256,,48.917838016629595,54.121415158578955,24.55407835364969,2.0202975993163124,,62.199460006174654,
0,2.0,46.46666666666667,54.13333333333333,44.95496155138437,57.514987409896285,,42.65593210467381,58.02761410984941,-26.406760908677544,17.803246551999028,,75.94547916930044,
0,3.0,46.46666666666667,54.13333333333333,44.63747614584431,58.53542768086167,,47.23810854236778,61.333098200220704,20.246511891237425,15.046115562703996,,253.96230119873826,
0,4.0,46.46666666666667,54.13333333333333,44.093373901973216,61.085361612573564,,42.348835534333304,59.74231157168611,21.989957477339473,20.57816890716856,,461.8025606450038,
0,5.0,46.46666666666667,54.13333333333333,43.88356523829722,64.31293681249875,,44.0,66.0,0.0,0.0,,219.50446128293794,
0,6.0,46.46666666666667,54.13333333333333,43.895328331731925,63.24431191664512,,45.3518201912845,66.17286512650574,-54.29311865920823,45.824042106644505,,309.6038132547037,
0,7.0,46.46666666666667,54.13333333333333,43.92875578710332,62.616512312026586,,46.38450612578933,59.756075314776986,55.352638978265425,21.11264936693948,,194.7786073478766,
0,8.0,46.46666666666667,54.13333333333333,43.988161185810085,61.92751652759769,,45.091232875276916,61.981429096636305,34.49510372832339,17.913082916559045,,562.8803786087634,
0,9.0,46.46666666666667,54.13333333333333,43.89653387670343,63.21289958084547,,44.13344182557908,63.222758183677264,28.068657067353183,11.92864159751132,,176.37409862210887,
0,10.0,46.46666666666667,54.13333333333333,43.88134536674293,64.0928989144825,,43.792113961361544,63.43208010445244,27.285685358759793,30.41685779360839,,669.5566234681411,1.0
